Time (s)	Actin	[G-act]	[A208W]	[G-act] (t)
2815.02	1.27E-06	0.000002	0	7.28209E-07
2825.02	1.28E-06	0.000002	0	7.24614E-07
2835.01	1.29E-06	0.000002	0	7.13246E-07
2845.02	1.29E-06	0.000002	0	7.07857E-07
2855.02	1.29E-06	0.000002	0	7.12535E-07
2865.02	1.30E-06	0.000002	0	7.0346E-07
2875.02	1.29E-06	0.000002	0	7.05657E-07
2885	1.31E-06	0.000002	0	6.88462E-07
2895.02	1.31E-06	0.000002	0	6.8819E-07
2905.02	1.32E-06	0.000002	0	6.82859E-07
2915.02	1.31E-06	0.000002	0	6.86319E-07
2925.01	1.31E-06	0.000002	0	6.89949E-07
2935.01	1.32E-06	0.000002	0	6.82522E-07
2945.02	1.32E-06	0.000002	0	6.81754E-07
2955	1.32E-06	0.000002	0	6.8421E-07
2965.01	1.33E-06	0.000002	0	6.7451E-07
2975.01	1.32E-06	0.000002	0	6.76342E-07
2985.01	1.33E-06	0.000002	0	6.67245E-07
2995.01	1.33E-06	0.000002	0	6.67819E-07
3005	1.34E-06	0.000002	0	6.61703E-07
3015.02	1.34E-06	0.000002	0	6.60133E-07
3025.01	1.35E-06	0.000002	0	6.49812E-07
3035.01	1.35E-06	0.000002	0	6.52436E-07
3045.01	1.35E-06	0.000002	0	6.47286E-07
3055.02	1.36E-06	0.000002	0	6.423E-07
3065.02	1.35E-06	0.000002	0	6.46481E-07
3075.02	1.37E-06	0.000002	0	6.33724E-07
3085.01	1.37E-06	0.000002	0	6.34955E-07
3095.02	1.37E-06	0.000002	0	6.28198E-07
3105.02	1.36E-06	0.000002	0	6.35261E-07
3115.02	1.37E-06	0.000002	0	6.34292E-07
3125.01	1.38E-06	0.000002	0	6.16554E-07
3135.01	1.38E-06	0.000002	0	6.18183E-07
3145.02	1.38E-06	0.000002	0	6.1509E-07
3155.02	1.38E-06	0.000002	0	6.23206E-07
3165.01	1.38E-06	0.000002	0	6.15686E-07
3175.01	1.39E-06	0.000002	0	6.06522E-07
3185.02	1.40E-06	0.000002	0	6.01012E-07
3195.02	1.40E-06	0.000002	0	6.02835E-07
3205.01	1.40E-06	0.000002	0	6.0259E-07
3215.02	1.40E-06	0.000002	0	5.96556E-07
3225.02	1.40E-06	0.000002	0	6.02477E-07
3235.02	1.40E-06	0.000002	0	5.95697E-07
3245.01	1.41E-06	0.000002	0	5.85634E-07
3255.01	1.42E-06	0.000002	0	5.82268E-07
3265.01	1.42E-06	0.000002	0	5.81482E-07
3275.02	1.41E-06	0.000002	0	5.86177E-07
3285.02	1.43E-06	0.000002	0	5.67324E-07
3295.02	1.43E-06	0.000002	0	5.72631E-07
3305.01	1.43E-06	0.000002	0	5.69339E-07
3315.02	1.42E-06	0.000002	0	5.78153E-07
3325.01	1.44E-06	0.000002	0	5.64855E-07
3335.02	1.44E-06	0.000002	0	5.6431E-07
3345.01	1.44E-06	0.000002	0	5.5966E-07
3355.01	1.44E-06	0.000002	0	5.58242E-07
3365.01	1.45E-06	0.000002	0	5.465E-07
3375.01	1.45E-06	0.000002	0	5.53585E-07
3385.02	1.46E-06	0.000002	0	5.43236E-07
3395.02	1.46E-06	0.000002	0	5.43811E-07
3405.01	1.46E-06	0.000002	0	5.37401E-07
3415.02	1.46E-06	0.000002	0	5.42715E-07
3425.02	1.46E-06	0.000002	0	5.39924E-07
3435.02	1.46E-06	0.000002	0	5.38398E-07
3445.02	1.46E-06	0.000002	0	5.37042E-07
3455.02	1.47E-06	0.000002	0	5.27884E-07
3465.02	1.47E-06	0.000002	0	5.28001E-07
3475.02	1.47E-06	0.000002	0	5.29623E-07
3485.02	1.48E-06	0.000002	0	5.21366E-07
3495.01	1.47E-06	0.000002	0	5.3196E-07
3505.01	1.48E-06	0.000002	0	5.21369E-07
3515.02	1.48E-06	0.000002	0	5.19565E-07
3525.02	1.49E-06	0.000002	0	5.06312E-07
3535.02	1.49E-06	0.000002	0	5.10742E-07
3545.01	1.48E-06	0.000002	0	5.16237E-07
3555	1.48E-06	0.000002	0	5.16697E-07
3565.01	1.50E-06	0.000002	0	4.97572E-07
3575.02	1.50E-06	0.000002	0	5.02432E-07
3585.01	1.51E-06	0.000002	0	4.91025E-07
3595.02	1.50E-06	0.000002	0	4.97166E-07
3605.02	1.51E-06	0.000002	0	4.94441E-07
3615.01	1.51E-06	0.000002	0	4.90489E-07
3625.02	1.51E-06	0.000002	0	4.88951E-07
3635.02	1.51E-06	0.000002	0	4.90907E-07
3645.01	1.52E-06	0.000002	0	4.80561E-07
3655.02	1.51E-06	0.000002	0	4.85238E-07
3665.01	1.51E-06	0.000002	0	4.87572E-07
3675.02	1.52E-06	0.000002	0	4.81777E-07
3685.01	1.53E-06	0.000002	0	4.74502E-07
3695.01	1.52E-06	0.000002	0	4.84221E-07
3705.02	1.53E-06	0.000002	0	4.69992E-07
3715	1.52E-06	0.000002	0	4.76425E-07
3725.02	1.53E-06	0.000002	0	4.73187E-07
3735.01	1.53E-06	0.000002	0	4.70853E-07
3745.01	1.54E-06	0.000002	0	4.60217E-07
3755.02	1.55E-06	0.000002	0	4.51885E-07
3765.02	1.55E-06	0.000002	0	4.54112E-07
3775.01	1.54E-06	0.000002	0	4.57473E-07
3785.01	1.54E-06	0.000002	0	4.57801E-07
3795.02	1.55E-06	0.000002	0	4.50921E-07
3805.02	1.55E-06	0.000002	0	4.50609E-07
3815.01	1.56E-06	0.000002	0	4.42587E-07
3825.01	1.55E-06	0.000002	0	4.46641E-07
3835.02	1.56E-06	0.000002	0	4.35441E-07
3845.02	1.56E-06	0.000002	0	4.43303E-07
3855.01	1.56E-06	0.000002	0	4.37808E-07
3865.02	1.56E-06	0.000002	0	4.35207E-07
3875.01	1.57E-06	0.000002	0	4.30249E-07
3885.02	1.56E-06	0.000002	0	4.44011E-07
3895.02	1.57E-06	0.000002	0	4.34556E-07
3905.02	1.58E-06	0.000002	0	4.20687E-07
3915.01	1.57E-06	0.000002	0	4.33525E-07
3925.01	1.56E-06	0.000002	0	4.38854E-07
3935.01	1.58E-06	0.000002	0	4.17426E-07
3945.01	1.59E-06	0.000002	0	4.09737E-07
3955.02	1.58E-06	0.000002	0	4.22327E-07
3965.02	1.58E-06	0.000002	0	4.16869E-07
3975.01	1.59E-06	0.000002	0	4.08495E-07
3985.02	1.60E-06	0.000002	0	4.0246E-07
3995.01	1.60E-06	0.000002	0	3.95853E-07
4005.02	1.59E-06	0.000002	0	4.0613E-07
4015.02	1.60E-06	0.000002	0	3.99984E-07
4025.01	1.60E-06	0.000002	0	4.03051E-07
4035.02	1.59E-06	0.000002	0	4.05978E-07
4045.02	1.59E-06	0.000002	0	4.07371E-07
4055.02	1.61E-06	0.000002	0	3.89856E-07
4065.02	1.60E-06	0.000002	0	3.99065E-07
4075.01	1.61E-06	0.000002	0	3.87514E-07
4085.01	1.61E-06	0.000002	0	3.90544E-07
4095.01	1.60E-06	0.000002	0	3.99292E-07
4105.02	1.61E-06	0.000002	0	3.8719E-07
4115.02	1.61E-06	0.000002	0	3.89312E-07
4125.02	1.61E-06	0.000002	0	3.90187E-07
4135.02	1.62E-06	0.000002	0	3.82614E-07
4145.01	1.63E-06	0.000002	0	3.72498E-07
4155.02	1.62E-06	0.000002	0	3.79734E-07
4165.01	1.62E-06	0.000002	0	3.83229E-07
4175.02	1.64E-06	0.000002	0	3.63371E-07
4185.01	1.63E-06	0.000002	0	3.70636E-07
4195.01	1.63E-06	0.000002	0	3.66704E-07
4205.02	1.64E-06	0.000002	0	3.63546E-07
4215.02	1.64E-06	0.000002	0	3.63801E-07
4225.01	1.63E-06	0.000002	0	3.72162E-07
4235	1.64E-06	0.000002	0	3.56303E-07
4245.02	1.63E-06	0.000002	0	3.7283E-07
4255.01	1.63E-06	0.000002	0	3.66332E-07
4265.02	1.64E-06	0.000002	0	3.59337E-07
4275.02	1.65E-06	0.000002	0	3.53883E-07
4285.02	1.65E-06	0.000002	0	3.4903E-07
4295.02	1.65E-06	0.000002	0	3.4991E-07
4305.02	1.64E-06	0.000002	0	3.59802E-07
4315.02	1.66E-06	0.000002	0	3.37893E-07
4325.01	1.65E-06	0.000002	0	3.51247E-07
4335.02	1.66E-06	0.000002	0	3.42438E-07
4345.02	1.66E-06	0.000002	0	3.41399E-07
4355.02	1.66E-06	0.000002	0	3.41343E-07
4365.02	1.67E-06	0.000002	0	3.32022E-07
4375.01	1.66E-06	0.000002	0	3.39898E-07
4385.01	1.66E-06	0.000002	0	3.35044E-07
4395	1.66E-06	0.000002	0	3.42455E-07
4405.01	1.65E-06	0.000002	0	3.48894E-07
4415.01	1.67E-06	0.000002	0	3.32013E-07
4425.02	1.68E-06	0.000002	0	3.23605E-07
4435.01	1.67E-06	0.000002	0	3.32483E-07
4445.02	1.68E-06	0.000002	0	3.1711E-07
4455.01	1.67E-06	0.000002	0	3.25637E-07
4465.02	1.69E-06	0.000002	0	3.10801E-07
4475.02	1.68E-06	0.000002	0	3.2297E-07
4485.01	1.67E-06	0.000002	0	3.26995E-07
4495.01	1.68E-06	0.000002	0	3.17152E-07
4505.02	1.67E-06	0.000002	0	3.26207E-07
4515.02	1.67E-06	0.000002	0	3.29842E-07
4525.01	1.68E-06	0.000002	0	3.24509E-07
4535.01	1.69E-06	0.000002	0	3.14001E-07
4545.01	1.69E-06	0.000002	0	3.09205E-07
4555.02	1.69E-06	0.000002	0	3.09226E-07
4565.01	1.68E-06	0.000002	0	3.22336E-07
4575.01	1.69E-06	0.000002	0	3.07107E-07
4585.02	1.68E-06	0.000002	0	3.15282E-07
4595.02	1.70E-06	0.000002	0	3.04883E-07
4605.01	1.70E-06	0.000002	0	2.97342E-07
4615.01	1.69E-06	0.000002	0	3.11223E-07
4625.01	1.70E-06	0.000002	0	3.0356E-07
4635.01	1.70E-06	0.000002	0	2.98137E-07
4645.01	1.70E-06	0.000002	0	2.95604E-07
4655.02	1.70E-06	0.000002	0	3.03491E-07
4665.01	1.71E-06	0.000002	0	2.8993E-07
4675.02	1.71E-06	0.000002	0	2.91471E-07
4685.02	1.71E-06	0.000002	0	2.88761E-07
4695.02	1.70E-06	0.000002	0	2.96786E-07
4705.01	1.72E-06	0.000002	0	2.83097E-07
4715.02	1.72E-06	0.000002	0	2.81935E-07
4725.02	1.71E-06	0.000002	0	2.87288E-07
4735.02	1.71E-06	0.000002	0	2.87896E-07
4745.02	1.72E-06	0.000002	0	2.77768E-07
4755.01	1.71E-06	0.000002	0	2.91741E-07
4765.01	1.72E-06	0.000002	0	2.75934E-07
4775.01	1.70E-06	0.000002	0	2.96977E-07
4785.01	1.72E-06	0.000002	0	2.82438E-07
4795.01	1.72E-06	0.000002	0	2.83516E-07
4805.01	1.73E-06	0.000002	0	2.68967E-07
4815.01	1.72E-06	0.000002	0	2.76381E-07
4825.01	1.73E-06	0.000002	0	2.71391E-07
4835.02	1.73E-06	0.000002	0	2.66888E-07
4845.01	1.74E-06	0.000002	0	2.60629E-07
4855.01	1.73E-06	0.000002	0	2.74869E-07
4865.02	1.72E-06	0.000002	0	2.7655E-07
4875.02	1.73E-06	0.000002	0	2.71547E-07
4885.02	1.73E-06	0.000002	0	2.71294E-07
4895.02	1.74E-06	0.000002	0	2.63698E-07
4905.02	1.73E-06	0.000002	0	2.7335E-07
4915.02	1.74E-06	0.000002	0	2.64694E-07
4925.02	1.74E-06	0.000002	0	2.55436E-07
4935.01	1.74E-06	0.000002	0	2.60919E-07
4945.02	1.74E-06	0.000002	0	2.60071E-07
4955.01	1.75E-06	0.000002	0	2.50623E-07
4965.02	1.75E-06	0.000002	0	2.51008E-07
4975.02	1.75E-06	0.000002	0	2.54537E-07
4985.03	1.75E-06	0.000002	0	2.50104E-07
4995.01	1.74E-06	0.000002	0	2.58242E-07
5005.01	1.76E-06	0.000002	0	2.4094E-07
5015.01	1.76E-06	0.000002	0	2.44174E-07
5025.02	1.75E-06	0.000002	0	2.51809E-07
5035.01	1.75E-06	0.000002	0	2.54616E-07
