Time (s)	2.5nM	[G-act]	[A208W]	[G-act] (t)
1965.01	1.36792E-06	0.000002	2.5E-09	6.32078E-07
1975.02	1.37088E-06	0.000002	2.5E-09	6.29118E-07
1985.02	1.38254E-06	0.000002	2.5E-09	6.1746E-07
1995.02	1.38826E-06	0.000002	2.5E-09	6.11744E-07
2005.01	1.39267E-06	0.000002	2.5E-09	6.07333E-07
2015.01	1.39421E-06	0.000002	2.5E-09	6.0579E-07
2025.01	1.40029E-06	0.000002	2.5E-09	5.9971E-07
2035.01	1.40171E-06	0.000002	2.5E-09	5.98293E-07
2045.01	1.40894E-06	0.000002	2.5E-09	5.91058E-07
2055.01	1.42937E-06	0.000002	2.5E-09	5.70629E-07
2065.02	1.43037E-06	0.000002	2.5E-09	5.69629E-07
2075.02	1.42475E-06	0.000002	2.5E-09	5.75246E-07
2085.01	1.44702E-06	0.000002	2.5E-09	5.52981E-07
2095.01	1.42863E-06	0.000002	2.5E-09	5.71367E-07
2105.02	1.45327E-06	0.000002	2.5E-09	5.46731E-07
2115.01	1.45189E-06	0.000002	2.5E-09	5.4811E-07
2125.01	1.45875E-06	0.000002	2.5E-09	5.41245E-07
2135.02	1.46387E-06	0.000002	2.5E-09	5.36126E-07
2145.01	1.46657E-06	0.000002	2.5E-09	5.33426E-07
2155.02	1.4604E-06	0.000002	2.5E-09	5.39597E-07
2165.01	1.47041E-06	0.000002	2.5E-09	5.29594E-07
2175.02	1.47571E-06	0.000002	2.5E-09	5.24286E-07
2185.01	1.47945E-06	0.000002	2.5E-09	5.20555E-07
2195	1.494E-06	0.000002	2.5E-09	5.06003E-07
2205.02	1.48757E-06	0.000002	2.5E-09	5.12429E-07
2215.02	1.50127E-06	0.000002	2.5E-09	4.98728E-07
2225.01	1.49995E-06	0.000002	2.5E-09	5.00048E-07
2235.02	1.50443E-06	0.000002	2.5E-09	4.95572E-07
2245.01	1.50526E-06	0.000002	2.5E-09	4.94742E-07
2255.01	1.51609E-06	0.000002	2.5E-09	4.83906E-07
2265.01	1.51863E-06	0.000002	2.5E-09	4.81371E-07
2275.01	1.51713E-06	0.000002	2.5E-09	4.82874E-07
2285.02	1.52655E-06	0.000002	2.5E-09	4.73446E-07
2295.02	1.53115E-06	0.000002	2.5E-09	4.68847E-07
2305.02	1.54328E-06	0.000002	2.5E-09	4.56723E-07
2315.02	1.53702E-06	0.000002	2.5E-09	4.62981E-07
2325.01	1.53865E-06	0.000002	2.5E-09	4.6135E-07
2335.02	1.54467E-06	0.000002	2.5E-09	4.55329E-07
2345.02	1.55036E-06	0.000002	2.5E-09	4.49645E-07
2355.02	1.55329E-06	0.000002	2.5E-09	4.46709E-07
2365.01	1.55212E-06	0.000002	2.5E-09	4.47882E-07
2375.01	1.55978E-06	0.000002	2.5E-09	4.40224E-07
2385.02	1.55864E-06	0.000002	2.5E-09	4.41361E-07
2395.02	1.57601E-06	0.000002	2.5E-09	4.23986E-07
2405.01	1.56682E-06	0.000002	2.5E-09	4.33175E-07
2415.01	1.58959E-06	0.000002	2.5E-09	4.10409E-07
2425.01	1.58614E-06	0.000002	2.5E-09	4.13861E-07
2435.01	1.57597E-06	0.000002	2.5E-09	4.24031E-07
2445.02	1.5908E-06	0.000002	2.5E-09	4.09204E-07
2455.01	1.58435E-06	0.000002	2.5E-09	4.15647E-07
2465.01	1.59523E-06	0.000002	2.5E-09	4.04765E-07
2475.01	1.5981E-06	0.000002	2.5E-09	4.019E-07
2485.01	1.60867E-06	0.000002	2.5E-09	3.91335E-07
2495.02	1.60421E-06	0.000002	2.5E-09	3.9579E-07
2505.01	1.60669E-06	0.000002	2.5E-09	3.9331E-07
2515	1.59892E-06	0.000002	2.5E-09	4.0108E-07
2525.02	1.61206E-06	0.000002	2.5E-09	3.87939E-07
2535.01	1.62629E-06	0.000002	2.5E-09	3.73708E-07
2545.02	1.62118E-06	0.000002	2.5E-09	3.78821E-07
2555.01	1.62996E-06	0.000002	2.5E-09	3.70043E-07
2565.02	1.61891E-06	0.000002	2.5E-09	3.81086E-07
2575.01	1.62986E-06	0.000002	2.5E-09	3.70144E-07
2585.02	1.63021E-06	0.000002	2.5E-09	3.69785E-07
2595.02	1.646E-06	0.000002	2.5E-09	3.54003E-07
2605.03	1.64209E-06	0.000002	2.5E-09	3.57913E-07
2615.01	1.64274E-06	0.000002	2.5E-09	3.57262E-07
2625.01	1.64521E-06	0.000002	2.5E-09	3.54793E-07
2635.01	1.6425E-06	0.000002	2.5E-09	3.57495E-07
2645.01	1.65025E-06	0.000002	2.5E-09	3.49751E-07
2655.02	1.65973E-06	0.000002	2.5E-09	3.40267E-07
2665.01	1.66812E-06	0.000002	2.5E-09	3.31882E-07
2675.01	1.66764E-06	0.000002	2.5E-09	3.32359E-07
2685.01	1.65984E-06	0.000002	2.5E-09	3.40159E-07
2695.02	1.67325E-06	0.000002	2.5E-09	3.26746E-07
2705	1.66274E-06	0.000002	2.5E-09	3.37264E-07
2715.02	1.67584E-06	0.000002	2.5E-09	3.24156E-07
2725.01	1.6754E-06	0.000002	2.5E-09	3.24598E-07
2735.01	1.68626E-06	0.000002	2.5E-09	3.13742E-07
2745	1.68213E-06	0.000002	2.5E-09	3.17868E-07
2755.01	1.69251E-06	0.000002	2.5E-09	3.07486E-07
2765.03	1.68271E-06	0.000002	2.5E-09	3.17293E-07
2775.02	1.69109E-06	0.000002	2.5E-09	3.08908E-07
2785.02	1.69486E-06	0.000002	2.5E-09	3.05142E-07
2795.01	1.69641E-06	0.000002	2.5E-09	3.03588E-07
2805.02	1.69729E-06	0.000002	2.5E-09	3.02713E-07
2815.02	1.69891E-06	0.000002	2.5E-09	3.01086E-07
2825.02	1.70841E-06	0.000002	2.5E-09	2.9159E-07
2835.01	1.701E-06	0.000002	2.5E-09	2.98999E-07
2845.01	1.71402E-06	0.000002	2.5E-09	2.85984E-07
2855.01	1.71812E-06	0.000002	2.5E-09	2.81876E-07
2865.02	1.71826E-06	0.000002	2.5E-09	2.81737E-07
2875.02	1.71378E-06	0.000002	2.5E-09	2.86224E-07
2885.01	1.7179E-06	0.000002	2.5E-09	2.82104E-07
2895.02	1.71357E-06	0.000002	2.5E-09	2.86428E-07
2905.01	1.716E-06	0.000002	2.5E-09	2.84002E-07
2915.02	1.72335E-06	0.000002	2.5E-09	2.76653E-07
2925.02	1.72386E-06	0.000002	2.5E-09	2.76136E-07
2935.01	1.73565E-06	0.000002	2.5E-09	2.64351E-07
2945.02	1.73321E-06	0.000002	2.5E-09	2.66788E-07
2955.01	1.73386E-06	0.000002	2.5E-09	2.66136E-07
2965.02	1.73604E-06	0.000002	2.5E-09	2.63963E-07
2975.02	1.73606E-06	0.000002	2.5E-09	2.63935E-07
2985.01	1.73854E-06	0.000002	2.5E-09	2.61465E-07
2995.02	1.74705E-06	0.000002	2.5E-09	2.52953E-07
3005.01	1.74424E-06	0.000002	2.5E-09	2.55763E-07
3015.02	1.74881E-06	0.000002	2.5E-09	2.51191E-07
3025.02	1.74195E-06	0.000002	2.5E-09	2.58049E-07
3035.02	1.75184E-06	0.000002	2.5E-09	2.48155E-07
3045.01	1.74299E-06	0.000002	2.5E-09	2.57012E-07
3055.01	1.76541E-06	0.000002	2.5E-09	2.34592E-07
3065	1.75014E-06	0.000002	2.5E-09	2.49864E-07
3075.02	1.7628E-06	0.000002	2.5E-09	2.37205E-07
3085.02	1.74569E-06	0.000002	2.5E-09	2.54308E-07
3095.01	1.75985E-06	0.000002	2.5E-09	2.40147E-07
3105.02	1.76509E-06	0.000002	2.5E-09	2.34912E-07
3115.01	1.76722E-06	0.000002	2.5E-09	2.32781E-07
3125.02	1.76572E-06	0.000002	2.5E-09	2.34277E-07
3135.01	1.7658E-06	0.000002	2.5E-09	2.342E-07
3145.01	1.77299E-06	0.000002	2.5E-09	2.27012E-07
3155.02	1.77089E-06	0.000002	2.5E-09	2.29113E-07
3165.01	1.76679E-06	0.000002	2.5E-09	2.33206E-07
3175.01	1.77786E-06	0.000002	2.5E-09	2.22142E-07
3185.01	1.7704E-06	0.000002	2.5E-09	2.29603E-07
3195.02	1.77796E-06	0.000002	2.5E-09	2.22036E-07
3205.01	1.78705E-06	0.000002	2.5E-09	2.12953E-07
3215.01	1.77632E-06	0.000002	2.5E-09	2.23677E-07
3225.01	1.77677E-06	0.000002	2.5E-09	2.23232E-07
3235.02	1.78716E-06	0.000002	2.5E-09	2.12837E-07
3245.02	1.79364E-06	0.000002	2.5E-09	2.06363E-07
3255.01	1.79354E-06	0.000002	2.5E-09	2.0646E-07
3265.02	1.79624E-06	0.000002	2.5E-09	2.03762E-07
3275	1.78909E-06	0.000002	2.5E-09	2.10909E-07
3285.01	1.79954E-06	0.000002	2.5E-09	2.00459E-07
3295.01	1.79895E-06	0.000002	2.5E-09	2.01054E-07
3305.02	1.78621E-06	0.000002	2.5E-09	2.13792E-07
3315.02	1.80609E-06	0.000002	2.5E-09	1.93906E-07
3325.01	1.80049E-06	0.000002	2.5E-09	1.99509E-07
3335.02	1.79728E-06	0.000002	2.5E-09	2.02722E-07
3345.02	1.80019E-06	0.000002	2.5E-09	1.99808E-07
3355.02	1.7973E-06	0.000002	2.5E-09	2.02702E-07
3365.01	1.81275E-06	0.000002	2.5E-09	1.8725E-07
3375.01	1.80757E-06	0.000002	2.5E-09	1.92429E-07
3385.01	1.8059E-06	0.000002	2.5E-09	1.94099E-07
3395.02	1.81234E-06	0.000002	2.5E-09	1.87664E-07
3405.02	1.80864E-06	0.000002	2.5E-09	1.91361E-07
3415.01	1.81618E-06	0.000002	2.5E-09	1.83823E-07
3425.02	1.81863E-06	0.000002	2.5E-09	1.81374E-07
3435.01	1.8206E-06	0.000002	2.5E-09	1.79396E-07
3445.01	1.82218E-06	0.000002	2.5E-09	1.77817E-07
3455.02	1.8104E-06	0.000002	2.5E-09	1.89603E-07
3465.01	1.81956E-06	0.000002	2.5E-09	1.8044E-07
3475.02	1.81958E-06	0.000002	2.5E-09	1.8042E-07
3485.02	1.81881E-06	0.000002	2.5E-09	1.81185E-07
3495.02	1.82665E-06	0.000002	2.5E-09	1.73351E-07
3505.01	1.82179E-06	0.000002	2.5E-09	1.78212E-07
3515.01	1.82961E-06	0.000002	2.5E-09	1.70392E-07
3525.02	1.8282E-06	0.000002	2.5E-09	1.71797E-07
3535.02	1.82592E-06	0.000002	2.5E-09	1.74079E-07
3545.02	1.83424E-06	0.000002	2.5E-09	1.65757E-07
3555.02	1.83301E-06	0.000002	2.5E-09	1.66987E-07
3565	1.83839E-06	0.000002	2.5E-09	1.61615E-07
3575.02	1.82961E-06	0.000002	2.5E-09	1.70388E-07
3585.03	1.82294E-06	0.000002	2.5E-09	1.77058E-07
3595.02	1.83032E-06	0.000002	2.5E-09	1.69685E-07
3605.01	1.849E-06	0.000002	2.5E-09	1.50995E-07
3615.02	1.8332E-06	0.000002	2.5E-09	1.66799E-07
3625.01	1.84196E-06	0.000002	2.5E-09	1.58041E-07
3635.02	1.8336E-06	0.000002	2.5E-09	1.66401E-07
3645.01	1.841E-06	0.000002	2.5E-09	1.59003E-07
3655.01	1.83156E-06	0.000002	2.5E-09	1.68438E-07
3665.02	1.83369E-06	0.000002	2.5E-09	1.66307E-07
3675.02	1.84412E-06	0.000002	2.5E-09	1.55881E-07
3685.01	1.85208E-06	0.000002	2.5E-09	1.47919E-07
3695.02	1.85295E-06	0.000002	2.5E-09	1.47052E-07
3705.01	1.84918E-06	0.000002	2.5E-09	1.50816E-07
3715.01	1.85072E-06	0.000002	2.5E-09	1.49285E-07
3725.01	1.84779E-06	0.000002	2.5E-09	1.52208E-07
3735.01	1.85066E-06	0.000002	2.5E-09	1.4934E-07
3745.03	1.86816E-06	0.000002	2.5E-09	1.3184E-07
3755.01	1.84193E-06	0.000002	2.5E-09	1.58073E-07
3765.01	1.84388E-06	0.000002	2.5E-09	1.5612E-07
3775.02	1.85658E-06	0.000002	2.5E-09	1.43422E-07
3785.01	1.8527E-06	0.000002	2.5E-09	1.47302E-07
3795.02	1.85061E-06	0.000002	2.5E-09	1.49391E-07
3805.02	1.85233E-06	0.000002	2.5E-09	1.47673E-07
3815.02	1.85545E-06	0.000002	2.5E-09	1.44552E-07
3825.02	1.85961E-06	0.000002	2.5E-09	1.40392E-07
3835.02	1.84497E-06	0.000002	2.5E-09	1.55032E-07
3845.01	1.866E-06	0.000002	2.5E-09	1.34002E-07
3855.02	1.8675E-06	0.000002	2.5E-09	1.32498E-07
3865.01	1.86098E-06	0.000002	2.5E-09	1.39022E-07
3875.02	1.85982E-06	0.000002	2.5E-09	1.40179E-07
3885.02	1.86598E-06	0.000002	2.5E-09	1.34022E-07
3895.02	1.87302E-06	0.000002	2.5E-09	1.26979E-07
3905.01	1.85616E-06	0.000002	2.5E-09	1.43843E-07
3915.01	1.86308E-06	0.000002	2.5E-09	1.36924E-07
3925.02	1.86917E-06	0.000002	2.5E-09	1.30831E-07
3935.01	1.8523E-06	0.000002	2.5E-09	1.47699E-07
3945.01	1.8689E-06	0.000002	2.5E-09	1.31105E-07
3955.01	1.8542E-06	0.000002	2.5E-09	1.458E-07
3965.01	1.85084E-06	0.000002	2.5E-09	1.49156E-07
3975.02	1.86585E-06	0.000002	2.5E-09	1.34155E-07
3985.01	1.87069E-06	0.000002	2.5E-09	1.29311E-07
3995.02	1.86584E-06	0.000002	2.5E-09	1.34163E-07
4005.02	1.87707E-06	0.000002	2.5E-09	1.22926E-07
4015.02	1.86344E-06	0.000002	2.5E-09	1.36559E-07
4025.02	1.86129E-06	0.000002	2.5E-09	1.38708E-07
4035.02	1.87139E-06	0.000002	2.5E-09	1.28611E-07
4045.02	1.86083E-06	0.000002	2.5E-09	1.3917E-07
4055.02	1.86999E-06	0.000002	2.5E-09	1.30008E-07
4065.01	1.88148E-06	0.000002	2.5E-09	1.18523E-07
4075.02	1.86391E-06	0.000002	2.5E-09	1.36086E-07
4085.02	1.88188E-06	0.000002	2.5E-09	1.18121E-07
4095.01	1.86949E-06	0.000002	2.5E-09	1.30505E-07
4105.01	1.87477E-06	0.000002	2.5E-09	1.25226E-07
4115.01	1.87579E-06	0.000002	2.5E-09	1.2421E-07
4125.01	1.87273E-06	0.000002	2.5E-09	1.27267E-07
4135.02	1.86435E-06	0.000002	2.5E-09	1.35652E-07
4145.02	1.87167E-06	0.000002	2.5E-09	1.28328E-07
4155.02	1.86927E-06	0.000002	2.5E-09	1.30731E-07
4165.01	1.88115E-06	0.000002	2.5E-09	1.18847E-07
4175.01	1.878E-06	0.000002	2.5E-09	1.22004E-07
4185.01	1.87919E-06	0.000002	2.5E-09	1.20814E-07
4195.01	1.87753E-06	0.000002	2.5E-09	1.22469E-07
4205.01	1.87683E-06	0.000002	2.5E-09	1.23172E-07
4215.01	1.88264E-06	0.000002	2.5E-09	1.17362E-07
4225.01	1.87158E-06	0.000002	2.5E-09	1.28418E-07
4235.02	1.89268E-06	0.000002	2.5E-09	1.07319E-07
4245.02	1.88017E-06	0.000002	2.5E-09	1.19828E-07
4255.02	1.87852E-06	0.000002	2.5E-09	1.21479E-07
