Time (s)	[F-actin] M	[G-act]	[G-act] (t)
1545.02	4.76874E-06	0.000005	2.31257E-07
1555.01	4.77866E-06	0.000005	2.21341E-07
1565.02	4.80743E-06	0.000005	1.92573E-07
1575.02	4.80734E-06	0.000005	1.92656E-07
1585.02	4.79857E-06	0.000005	2.0143E-07
1595.01	4.80098E-06	0.000005	1.99021E-07
1605.01	4.81671E-06	0.000005	1.8329E-07
1615.02	4.80526E-06	0.000005	1.94738E-07
1625.01	4.79687E-06	0.000005	2.03133E-07
1635.03	4.80537E-06	0.000005	1.94628E-07
1645.01	4.82238E-06	0.000005	1.77616E-07
1655.01	4.83309E-06	0.000005	1.66912E-07
1665.01	4.81843E-06	0.000005	1.81574E-07
1675.02	4.84383E-06	0.000005	1.56174E-07
1685.02	4.83142E-06	0.000005	1.68578E-07
1695.02	4.84145E-06	0.000005	1.58555E-07
1705.02	4.82009E-06	0.000005	1.79906E-07
1715.02	4.84109E-06	0.000005	1.58907E-07
1725.02	4.82621E-06	0.000005	1.73793E-07
1735.02	4.82493E-06	0.000005	1.75072E-07
1745.01	4.83962E-06	0.000005	1.60379E-07
1755.01	4.84094E-06	0.000005	1.59056E-07
1765.01	4.84545E-06	0.000005	1.54548E-07
1775.02	4.82377E-06	0.000005	1.76232E-07
1785.02	4.8511E-06	0.000005	1.48904E-07
1795.02	4.83226E-06	0.000005	1.67738E-07
1805.02	4.84994E-06	0.000005	1.50061E-07
1815.01	4.85283E-06	0.000005	1.4717E-07
1825.02	4.84326E-06	0.000005	1.56738E-07
1835.01	4.8378E-06	0.000005	1.62205E-07
1845.01	4.83449E-06	0.000005	1.65508E-07
1855.02	4.86151E-06	0.000005	1.38488E-07
1865.03	4.83379E-06	0.000005	1.66209E-07
1875.01	4.84157E-06	0.000005	1.58433E-07
1885.02	4.85416E-06	0.000005	1.45844E-07
1895.02	4.85079E-06	0.000005	1.49206E-07
1905.01	4.85963E-06	0.000005	1.40371E-07
1915.01	4.84886E-06	0.000005	1.51138E-07
1925.01	4.85904E-06	0.000005	1.40961E-07
1935.02	4.87603E-06	0.000005	1.23969E-07
1945.02	4.86288E-06	0.000005	1.37124E-07
1955.02	4.86509E-06	0.000005	1.34907E-07
1965.01	4.87941E-06	0.000005	1.2059E-07
1975.02	4.87805E-06	0.000005	1.21952E-07
1985.01	4.86746E-06	0.000005	1.32541E-07
1995.01	4.85617E-06	0.000005	1.43832E-07
2005.01	4.87301E-06	0.000005	1.26993E-07
2015.01	4.89574E-06	0.000005	1.04265E-07
2025.03	4.88661E-06	0.000005	1.13387E-07
2035.02	4.87624E-06	0.000005	1.23756E-07
2045.01	4.86623E-06	0.000005	1.33766E-07
2055.02	4.89458E-06	0.000005	1.05425E-07
2065.01	4.89307E-06	0.000005	1.06926E-07
2075.01	4.88859E-06	0.000005	1.11411E-07
2085.01	4.86789E-06	0.000005	1.32108E-07
2095.02	4.87087E-06	0.000005	1.29125E-07
2105.01	4.89374E-06	0.000005	1.06258E-07
2115.01	4.87462E-06	0.000005	1.25377E-07
2125.02	4.89567E-06	0.000005	1.04329E-07
2135.01	4.87692E-06	0.000005	1.2308E-07
2145.01	4.86863E-06	0.000005	1.31369E-07
2155.01	4.88769E-06	0.000005	1.1231E-07
2165.01	4.88921E-06	0.000005	1.10792E-07
2175.02	0.0000049	0.000005	1E-07
2185.03	4.87932E-06	0.000005	1.2068E-07
2195.01	4.85886E-06	0.000005	1.41135E-07
2205.01	4.88451E-06	0.000005	1.15491E-07
2215.02	4.88374E-06	0.000005	1.16256E-07
2225.01	4.8884E-06	0.000005	1.116E-07
2235.01	4.89719E-06	0.000005	1.02813E-07
2245.02	4.87953E-06	0.000005	1.20467E-07
2255.01	4.87883E-06	0.000005	1.21168E-07
2265.01	4.87169E-06	0.000005	1.28305E-07
2275.02	4.88112E-06	0.000005	1.1888E-07
2285.01	4.89875E-06	0.000005	1.01247E-07
2295.03	4.88931E-06	0.000005	1.10686E-07
2305.01	4.89913E-06	0.000005	1.00865E-07
2315.02	4.8818E-06	0.000005	1.18202E-07
2325.02	4.86523E-06	0.000005	1.34767E-07
2335.02	4.88882E-06	0.000005	1.11175E-07
2345.03	4.87443E-06	0.000005	1.25572E-07
2355.01	4.87855E-06	0.000005	1.21449E-07
2365.02	4.87279E-06	0.000005	1.27208E-07
2375.01	4.89779E-06	0.000005	1.02205E-07
2385.01	4.86845E-06	0.000005	1.31552E-07
2395.02	4.89712E-06	0.000005	1.02881E-07
2405.02	4.89584E-06	0.000005	1.04161E-07
2415.02	4.88717E-06	0.000005	1.12828E-07
