Time (s)	[F-actin] M	[G-act] (0)	[G-act] (t)
1865.03	1.20411E-06	0.000002	7.95893E-07
1875.01	1.20251E-06	0.000002	7.97494E-07
1885.02	1.20999E-06	0.000002	7.90009E-07
1895.02	1.20992E-06	0.000002	7.90084E-07
1905.01	1.22855E-06	0.000002	7.71453E-07
1915.01	1.22563E-06	0.000002	7.7437E-07
1925.01	1.23459E-06	0.000002	7.65413E-07
1935.02	1.23578E-06	0.000002	7.64221E-07
1945.02	1.24558E-06	0.000002	7.54421E-07
1955.02	1.24188E-06	0.000002	7.58124E-07
1965.01	1.2592E-06	0.000002	7.40803E-07
1975.02	1.25186E-06	0.000002	7.48143E-07
1985.01	1.26005E-06	0.000002	7.39951E-07
1995.01	1.27634E-06	0.000002	7.23664E-07
2005.01	1.26436E-06	0.000002	7.35644E-07
2015.01	1.27411E-06	0.000002	7.25891E-07
2025.03	1.28044E-06	0.000002	7.19564E-07
2035.02	1.27514E-06	0.000002	7.24859E-07
2045.01	1.29251E-06	0.000002	7.07487E-07
2055.02	1.29436E-06	0.000002	7.05644E-07
2065.01	1.29907E-06	0.000002	7.00933E-07
2075.01	1.30994E-06	0.000002	6.9006E-07
2085.01	1.31073E-06	0.000002	6.89273E-07
2095.02	1.3133E-06	0.000002	6.86703E-07
2105.01	1.31438E-06	0.000002	6.85616E-07
2115.01	1.31568E-06	0.000002	6.84324E-07
2125.02	1.32751E-06	0.000002	6.7249E-07
2135.01	1.3286E-06	0.000002	6.71395E-07
2145.01	1.32427E-06	0.000002	6.75732E-07
2155.01	1.33447E-06	0.000002	6.65527E-07
2165.01	1.33875E-06	0.000002	6.61251E-07
2175.02	1.3494E-06	0.000002	6.50599E-07
2185.03	1.34215E-06	0.000002	6.57854E-07
2195.01	1.35584E-06	0.000002	6.44161E-07
2205.01	1.36438E-06	0.000002	6.35615E-07
2215.02	1.36208E-06	0.000002	6.37915E-07
2225.01	1.36297E-06	0.000002	6.37032E-07
2235.01	1.36486E-06	0.000002	6.35143E-07
2245.02	1.37655E-06	0.000002	6.23448E-07
2255.01	1.37597E-06	0.000002	6.24029E-07
2265.01	1.38273E-06	0.000002	6.17269E-07
2275.02	1.39909E-06	0.000002	6.00913E-07
2285.01	1.38955E-06	0.000002	6.10452E-07
2295.03	1.40238E-06	0.000002	5.97625E-07
2305.01	1.40594E-06	0.000002	5.94058E-07
2315.02	1.40068E-06	0.000002	5.99318E-07
2325.02	1.41635E-06	0.000002	5.83655E-07
2335.02	1.41692E-06	0.000002	5.83078E-07
2345.03	1.42115E-06	0.000002	5.78854E-07
2355.01	1.41793E-06	0.000002	5.82066E-07
2365.02	1.43413E-06	0.000002	5.65874E-07
2375.01	1.43096E-06	0.000002	5.69039E-07
2385.01	1.42713E-06	0.000002	5.72868E-07
2395.02	1.44064E-06	0.000002	5.59355E-07
2405.02	1.4379E-06	0.000002	5.62102E-07
2415.02	1.43723E-06	0.000002	5.62768E-07
2425.01	1.45966E-06	0.000002	5.40341E-07
2435.03	1.45503E-06	0.000002	5.44975E-07
2445.01	1.45576E-06	0.000002	5.44242E-07
2455.02	1.45698E-06	0.000002	5.43016E-07
2465.02	1.45622E-06	0.000002	5.43783E-07
2475.02	1.46854E-06	0.000002	5.31455E-07
2485.01	1.46515E-06	0.000002	5.3485E-07
2495.01	1.47531E-06	0.000002	5.24692E-07
2505.03	1.47934E-06	0.000002	5.20661E-07
2515.01	1.48422E-06	0.000002	5.15784E-07
2525.01	1.47856E-06	0.000002	5.21442E-07
2535.02	1.48448E-06	0.000002	5.15516E-07
2545.01	1.49132E-06	0.000002	5.08679E-07
2555.02	1.49952E-06	0.000002	5.00481E-07
2565.01	1.4872E-06	0.000002	5.12801E-07
2575.01	1.50398E-06	0.000002	4.96021E-07
2585.01	1.50676E-06	0.000002	4.93237E-07
2595.03	1.50625E-06	0.000002	4.93753E-07
2605.02	1.51006E-06	0.000002	4.89936E-07
2615.01	1.50736E-06	0.000002	4.92645E-07
2625.02	1.51422E-06	0.000002	4.85782E-07
2635.02	1.51847E-06	0.000002	4.81534E-07
2645.02	1.51978E-06	0.000002	4.80218E-07
2655.01	1.53111E-06	0.000002	4.68894E-07
2665.03	1.5309E-06	0.000002	4.69102E-07
2675.01	1.53891E-06	0.000002	4.61085E-07
2685.02	1.54081E-06	0.000002	4.59187E-07
2695.01	1.53523E-06	0.000002	4.64769E-07
2705.01	1.55145E-06	0.000002	4.48546E-07
2715.01	1.54213E-06	0.000002	4.57875E-07
2725.01	1.55508E-06	0.000002	4.44922E-07
2735.01	1.5545E-06	0.000002	4.45503E-07
2745.02	1.56381E-06	0.000002	4.36185E-07
2755.02	1.55857E-06	0.000002	4.41433E-07
2765.01	1.56832E-06	0.000002	4.31684E-07
2775.02	1.57936E-06	0.000002	4.20644E-07
2785.02	1.58107E-06	0.000002	4.18929E-07
2795.02	1.56555E-06	0.000002	4.34448E-07
2805.02	1.57824E-06	0.000002	4.21761E-07
2815.02	1.56881E-06	0.000002	4.31188E-07
2825.03	1.57908E-06	0.000002	4.20917E-07
2835.01	1.58093E-06	0.000002	4.19074E-07
2845.02	1.59852E-06	0.000002	4.01482E-07
2855.02	1.58974E-06	0.000002	4.10255E-07
2865.01	1.59172E-06	0.000002	4.08277E-07
2875.01	1.58715E-06	0.000002	4.12853E-07
2885.02	1.60695E-06	0.000002	3.93055E-07
2895.02	1.60779E-06	0.000002	3.92209E-07
2905.01	1.6018E-06	0.000002	3.98204E-07
2915.02	1.61701E-06	0.000002	3.82988E-07
2925.02	1.60982E-06	0.000002	3.90178E-07
2935.02	1.60461E-06	0.000002	3.9539E-07
2945.01	1.63097E-06	0.000002	3.69034E-07
